0	100	0.0	0.01	145436
0	100	0.01	0.02	98002
0	100	0.02	0.03	61623
0	100	0.03	0.04	41743
0	100	0.04	0.05	30350
0	100	0.05	0.06	23785
0	100	0.06	0.07	19056
0	100	0.07	0.08	15984
0	100	0.08	0.09	13301
0	100	0.09	0.1	11602
0	100	0.1	0.11	10195
0	100	0.11	0.12	9149
0	100	0.12	0.13	8092
0	100	0.13	0.14	7470
0	100	0.14	0.15	6758
0	100	0.15	0.16	6074
0	100	0.16	0.17	5812
0	100	0.17	0.18	5300
0	100	0.18	0.19	5187
0	100	0.19	0.2	4606
0	100	0.2	0.21	4251
0	100	0.21	0.22	4046
0	100	0.22	0.23	3945
0	100	0.23	0.24	3736
0	100	0.24	0.25	3596
0	100	0.25	0.26	3380
0	100	0.26	0.27	3191
0	100	0.27	0.28	2996
0	100	0.28	0.29	3009
0	100	0.29	0.3	2815
0	100	0.3	0.31	2673
0	100	0.31	0.32	2615
0	100	0.32	0.33	2534
0	100	0.33	0.34	2492
0	100	0.34	0.35	2516
0	100	0.35	0.36	2288
0	100	0.36	0.37	2331
0	100	0.37	0.38	2220
0	100	0.38	0.39	2185
0	100	0.39	0.4	2148
0	100	0.4	0.41	2122
0	100	0.41	0.42	1956
0	100	0.42	0.43	1855
0	100	0.43	0.44	1850
0	100	0.44	0.45	1786
0	100	0.45	0.46	1796
0	100	0.46	0.47	1835
0	100	0.47	0.48	1751
0	100	0.48	0.49	1607
0	100	0.49	0.5	1594
0	100	0.5	0.51	1663
0	100	0.51	0.52	1647
0	100	0.52	0.53	1616
0	100	0.53	0.54	1503
0	100	0.54	0.55	1479
0	100	0.55	0.56	1508
0	100	0.56	0.57	1449
0	100	0.57	0.58	1431
0	100	0.58	0.59	1487
0	100	0.59	0.6	1481
0	100	0.6	0.61	1505
0	100	0.61	0.62	1450
0	100	0.62	0.63	1395
0	100	0.63	0.64	1456
0	100	0.64	0.65	1414
0	100	0.65	0.66	1440
0	100	0.66	0.67	1415
0	100	0.67	0.68	1412
0	100	0.68	0.69	1378
0	100	0.69	0.7	1410
0	100	0.7	0.71	1458
0	100	0.71	0.72	1394
0	100	0.72	0.73	1499
0	100	0.73	0.74	1445
0	100	0.74	0.75	1479
0	100	0.75	0.76	1404
0	100	0.76	0.77	1446
0	100	0.77	0.78	1526
0	100	0.78	0.79	1501
0	100	0.79	0.8	1532
0	100	0.8	0.81	1560
0	100	0.81	0.82	1551
0	100	0.82	0.83	1740
0	100	0.83	0.84	1719
0	100	0.84	0.85	1698
0	100	0.85	0.86	1887
0	100	0.86	0.87	1955
0	100	0.87	0.88	2099
0	100	0.88	0.89	2097
0	100	0.89	0.9	2125
0	100	0.9	0.91	2440
0	100	0.91	0.92	2365
0	100	0.92	0.93	2618
0	100	0.93	0.94	2928
0	100	0.94	0.95	3169
0	100	0.95	0.96	3404
0	100	0.96	0.97	3174
0	100	0.97	0.98	2731
0	100	0.98	0.99	2546
0	100	0.99	1	14792
100	200	0.0	0.01	155882
100	200	0.01	0.02	93728
100	200	0.02	0.03	58618
100	200	0.03	0.04	39044
100	200	0.04	0.05	27987
100	200	0.05	0.06	21587
100	200	0.06	0.07	17544
100	200	0.07	0.08	14284
100	200	0.08	0.09	11857
100	200	0.09	0.1	10112
100	200	0.1	0.11	8858
100	200	0.11	0.12	7741
100	200	0.12	0.13	6869
100	200	0.13	0.14	6319
100	200	0.14	0.15	5737
100	200	0.15	0.16	5180
100	200	0.16	0.17	4649
100	200	0.17	0.18	4217
100	200	0.18	0.19	3863
100	200	0.19	0.2	3798
100	200	0.2	0.21	3395
100	200	0.21	0.22	3226
100	200	0.22	0.23	3072
